Node,Long1,Lat1
0,1.8106974363327026,-974.689453125
1,-43.8586540222168,151.66708374023438
2,-43.991153717041016,154.0450439453125
3,-43.23078155517578,153.646240234375
4,-45.77760314941406,148.3455352783203
5,-45.541900634765625,148.82806396484375
6,-39.74564743041992,154.38763427734375
7,-43.8870849609375,154.5869903564453
8,-43.09861373901367,154.26853942871094
9,-45.78165054321289,147.78834533691406
10,-39.0793571472168,155.0010528564453
11,-39.21145248413086,155.4653778076172
12,-43.400718688964844,152.62173461914062
13,-43.340694427490234,154.8583221435547
14,-38.30305862426758,155.408203125
15,-38.72816848754883,156.09857177734375
16,-38.06507110595703,156.140869140625
17,-37.788780212402344,156.77674865722656
18,-45.163909912109375,150.158203125
19,-42.52105712890625,152.19859313964844
20,-43.6888542175293,153.41261291503906
21,-42.84554672241211,152.85586547851562
22,-45.601173400878906,149.2790985107422
23,-45.7885627746582,149.925537109375
24,-41.65125274658203,153.12416076660156
25,-933.2882690429688,-381.21221923828125
26,-489.3667907714844,616.6419067382812
27,-489.603515625,615.9014282226562
28,-490.33843994140625,616.6448364257812
29,-488.4396057128906,617.3080444335938
30,-490.5146484375,615.7031860351562
31,-488.9863586425781,615.561279296875
32,-491.0282287597656,616.5686645507812
33,-487.75018310546875,617.7467041015625
34,-491.0466613769531,615.7802734375
35,-490.7538757324219,615.0563354492188
36,-487.19744873046875,618.0604248046875
37,-490.76519775390625,614.52734375
38,-723.6251220703125,474.2625427246094
39,-470.3385925292969,-507.6739196777344
40,-469.48773193359375,-507.26531982421875
41,-469.4472351074219,-508.5008239746094
42,-471.4251403808594,-507.99981689453125
43,-470.6127014160156,-507.0738830566406
44,-468.8530578613281,-507.89630126953125
45,-469.4839172363281,-506.4045715332031
46,-468.7706298828125,-508.617919921875
47,-469.63623046875,-508.8339538574219
48,-469.6075439453125,-508.2270812988281
49,-472.51055908203125,-508.2533264160156
50,-468.3702087402344,-508.0604553222656
51,-469.1880187988281,-505.8174133300781
52,-469.8383483886719,-505.9500732421875
53,-468.24285888671875,-508.5361328125
54,-472.9170837402344,-508.8548278808594
55,-472.8067321777344,-507.7193908691406
56,-467.7763977050781,-507.8185729980469
57,-473.0535888671875,-509.3559265136719
58,271.8929138183594,704.094970703125
59,-741.6126708984375,-401.14996337890625
60,-741.3707885742188,-402.2235107421875
61,-741.3651733398438,-400.47467041015625
62,-742.25,-400.9048767089844
63,-741.3941650390625,-403.1017150878906
64,-741.0475463867188,-400.055419921875
65,-741.2940673828125,-403.8411560058594
66,-741.2337646484375,-404.6093444824219
67,-741.3009033203125,-405.16534423828125
68,-410.5784606933594,-824.6204833984375
69,-152.19686889648438,51.449527740478516
70,-152.28855895996094,50.383827209472656
71,-153.01812744140625,51.59486770629883
72,-151.708740234375,51.724727630615234
73,-152.97682189941406,49.99128341674805
74,-151.70118713378906,50.048587799072266
75,-153.1573028564453,51.033668518066406
76,-153.2435302734375,50.426361083984375
77,-152.62704467773438,51.17777633666992
78,-909.3519897460938,68.77705383300781
79,-456.3074035644531,16.034130096435547
80,-455.5648498535156,16.167438507080078
81,-456.8306884765625,16.526485443115234
82,-456.3709716796875,15.309456825256348
83,-455.5422058105469,16.932950973510742
84,-455.2723388671875,15.482386589050293
85,-456.22589111328125,16.96593475341797
86,-457.6464538574219,16.208332061767578
87,-455.8755187988281,14.891544342041016
88,-454.64080810546875,17.29599952697754
89,-455.38427734375,14.81881046295166
90,-458.1869201660156,15.861305236816406
91,-454.1322937011719,17.713367462158203
92,-295.3247375488281,-711.6008911132812
93,-294.12359619140625,-709.7021484375
94,-300.6059875488281,-722.0388793945312
95,-294.2317199707031,-709.037109375
96,-293.2944641113281,-709.2426147460938
97,-301.84613037109375,-723.227294921875
98,-300.9628601074219,-723.3558349609375
99,-302.1333923339844,-724.00830078125
100,-301.58819580078125,-724.2385864257812
101,-302.3819274902344,-724.8181762695312
102,330.4054870605469,-721.4205932617188
103,-296.5722351074219,-713.4489135742188
104,-295.7483825683594,-712.1182861328125
105,-297.90203857421875,-716.1831665039062
106,-296.0043640136719,-712.4398193359375
107,-295.02801513671875,-711.0974731445312
108,-299.25531005859375,-719.0612182617188
109,-297.813232421875,-716.77880859375
110,-463.86212158203125,-753.7131958007812
111,-152.75747680664062,16.95035743713379
112,-153.0902557373047,17.37550926208496
113,-152.0110321044922,18.531564712524414
114,-153.2006378173828,15.169011116027832
115,-152.82823181152344,18.72134017944336
116,-153.37484741210938,15.926986694335938
117,-151.33486938476562,20.248367309570312
118,-153.53797912597656,13.34455680847168
119,-151.9568634033203,19.418121337890625
120,-153.3033447265625,18.822973251342773
121,-153.45327758789062,14.56541919708252
122,-150.0355987548828,22.429521560668945
123,-154.2501983642578,10.384937286376953
124,-149.5797882080078,23.368907928466797
125,-149.22613525390625,23.646583557128906
126,-154.9303436279297,7.708806991577148
127,-149.08534240722656,24.259654998779297
128,-149.31373596191406,24.766433715820312
129,-155.75323486328125,5.145181655883789
130,-149.7895050048828,24.805076599121094
131,-156.31307983398438,3.7173757553100586
132,-155.2298126220703,4.653253555297852
133,-156.6846923828125,3.2348575592041016
134,899.96875,70.87184143066406
135,-340.34014892578125,-460.6055603027344
136,-339.79425048828125,-460.1554260253906
